,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2.851063829787234,4.319148936170213,1.6595744680851063,2.595744680851064,4.8936170212765955,4.127659574468085,3.106382978723404,1.7659574468085106,2.25531914893617,2.106382978723404,2.8297872340425534,0.8936170212765957,1.5957446808510638,3.2127659574468086,2.5531914893617023,1.6382978723404256,0.9361702127659575,1.3404255319148937,46.0
0,3.352112676056338,4.23943661971831,2.323943661971831,3.4507042253521125,3.436619718309859,3.5492957746478875,3.9577464788732395,2.8732394366197185,2.3661971830985915,2.4507042253521125,2.971830985915493,1.323943661971831,2.380281690140845,1.971830985915493,2.0704225352112675,2.436619718309859,1.732394366197183,1.6056338028169015,70.0
0,3.8214285714285716,3.392857142857143,1.4107142857142858,2.0,5.196428571428571,3.75,0.8392857142857143,4.035714285714286,2.375,2.607142857142857,1.9107142857142858,0.6607142857142857,1.1785714285714286,3.642857142857143,2.4642857142857144,0.39285714285714285,2.767857142857143,1.8392857142857142,55.0
0,2.533333333333333,1.3833333333333333,1.4666666666666666,2.3666666666666667,3.8833333333333333,2.816666666666667,2.4166666666666665,2.55,1.2833333333333334,1.85,0.8166666666666667,0.85,1.8666666666666667,2.683333333333333,1.8333333333333333,1.4833333333333334,1.5166666666666666,0.9833333333333333,59.0
0,2.6222222222222222,2.8222222222222224,3.1333333333333333,1.3777777777777778,5.377777777777778,4.288888888888889,1.8222222222222222,2.0444444444444443,2.022222222222222,2.0444444444444443,1.8222222222222222,1.9111111111111112,1.1333333333333333,3.688888888888889,2.7111111111111112,0.9111111111111111,1.0444444444444445,1.3555555555555556,44.0
0,3.5,1.3958333333333333,2.9375,2.625,5.520833333333333,3.375,2.25,2.3333333333333335,1.6875,2.7708333333333335,0.6875,1.875,2.2083333333333335,3.4583333333333335,2.25,1.1875,1.2291666666666667,1.0833333333333333,47.0
0,3.6166666666666667,4.283333333333333,2.6,3.5,6.416666666666667,4.383333333333334,1.0333333333333334,3.5166666666666666,3.316666666666667,2.566666666666667,2.316666666666667,1.4333333333333333,2.183333333333333,4.6,2.6,0.5166666666666667,2.05,2.466666666666667,59.0
0,2.32,1.08,2.83,2.25,2.82,4.04,1.4,2.24,2.24,1.74,0.62,1.79,1.54,1.87,2.57,0.84,1.39,1.64,99.0
0,2.3559322033898304,2.9152542372881354,1.7796610169491525,2.5762711864406778,3.76271186440678,2.9491525423728815,1.3728813559322033,1.5932203389830508,1.305084745762712,1.9661016949152543,1.8644067796610169,1.1355932203389831,1.9152542372881356,2.406779661016949,1.9491525423728813,0.6271186440677966,0.7288135593220338,0.9830508474576272,58.0
0,2.4675324675324677,1.0129870129870129,2.2337662337662336,2.6363636363636362,4.545454545454546,2.792207792207792,1.8571428571428572,1.4285714285714286,2.038961038961039,1.8311688311688312,0.5194805194805194,1.3246753246753247,1.7402597402597402,2.9740259740259742,1.6233766233766234,0.922077922077922,0.6103896103896104,1.2857142857142858,76.0
